,0,1,2,3
ICC WT20 - India vs Pakistan Match Highlights.avi_1837_P0,146,136,184,241
ICC WT20 - India vs Pakistan Match Highlights.avi_1837_P1,316,57,345,128
ICC WT20 - India vs Pakistan Match Highlights.avi_1837_P2,300,167,339,274
ICC WT20 - India vs Pakistan Match Highlights.avi_1837_P3,348,160,386,271
ICC WT20 - India vs Pakistan Match Highlights.avi_1837_P4,214,2,248,51
ICC WT20 - India vs Pakistan Match Highlights.avi_2099_P0,224,10,256,42
ICC WT20 - India vs Pakistan Match Highlights.avi_2099_P1,362,127,386,261
ICC WT20 - India vs Pakistan Match Highlights.avi_2099_P2,300,167,339,280
ICC WT20 - India vs Pakistan Match Highlights.avi_2099_P3,191,134,224,239
ICC WT20 - India vs Pakistan Match Highlights.avi_2099_P4,316,41,341,123
ICC WT20 - India vs Pakistan Match Highlights.avi_2377_P0,419,133,451,237
ICC WT20 - India vs Pakistan Match Highlights.avi_2377_P1,301,163,333,270
ICC WT20 - India vs Pakistan Match Highlights.avi_2377_P2,254,158,291,269
ICC WT20 - India vs Pakistan Match Highlights.avi_2377_P3,300,35,317,121
ICC WT20 - India vs Pakistan Match Highlights.avi_2563_P0,247,159,286,273
ICC WT20 - India vs Pakistan Match Highlights.avi_2563_P1,419,129,457,231
ICC WT20 - India vs Pakistan Match Highlights.avi_2563_P2,300,161,339,269
ICC WT20 - India vs Pakistan Match Highlights.avi_2563_P3,293,35,317,120
ICC WT20 - India vs Pakistan Match Highlights.avi_2830_P0,367,149,395,261
ICC WT20 - India vs Pakistan Match Highlights.avi_2830_P1,299,161,333,278
ICC WT20 - India vs Pakistan Match Highlights.avi_2830_P2,317,34,346,120
ICC WT20 - India vs Pakistan Match Highlights.avi_2830_P3,12,127,34,174
ICC WT20 - India vs Pakistan Match Highlights.avi_2830_P4,14,176,36,245
ICC WT20 - India vs Pakistan Match Highlights.avi_2830_P5,2,175,2,246
ICC WT20 - India vs Pakistan Match Highlights.avi_3069_P0,279,182,317,292
ICC WT20 - India vs Pakistan Match Highlights.avi_3069_P1,347,153,385,263
ICC WT20 - India vs Pakistan Match Highlights.avi_3069_P2,183,144,215,246
ICC WT20 - India vs Pakistan Match Highlights.avi_3069_P3,283,49,317,129
ICC WT20 - India vs Pakistan Match Highlights.avi_3244_P0,293,173,331,278
ICC WT20 - India vs Pakistan Match Highlights.avi_3244_P1,357,153,385,262
ICC WT20 - India vs Pakistan Match Highlights.avi_3244_P2,190,135,230,232
ICC WT20 - India vs Pakistan Match Highlights.avi_3244_P3,298,49,326,122
ICC WT20 - India vs Pakistan Match Highlights.avi_3244_P4,379,200,380,259
ICC WT20 - India vs Pakistan Match Highlights.avi_3521_P0,222,152,299,292
ICC WT20 - India vs Pakistan Match Highlights.avi_3521_P1,401,174,447,293
ICC WT20 - India vs Pakistan Match Highlights.avi_3521_P2,133,66,185,116
ICC WT20 - India vs Pakistan Match Highlights.avi_3521_P3,294,202,332,326
ICC WT20 - India vs Pakistan Match Highlights.avi_3521_P4,300,81,333,160
ICC WT20 - India vs Pakistan Match Highlights.avi_3521_P5,280,111,301,146
ICC WT20 - India vs Pakistan Match Highlights.avi_3753_P0,301,173,337,284
ICC WT20 - India vs Pakistan Match Highlights.avi_3753_P1,232,146,288,271
ICC WT20 - India vs Pakistan Match Highlights.avi_3753_P2,323,41,339,122
ICC WT20 - India vs Pakistan Match Highlights.avi_3753_P3,387,137,433,239
ICC WT20 - India vs Pakistan Match Highlights.avi_3753_P4,285,21,300,50
ICC WT20 - India vs Pakistan Match Highlights.avi_3855_P0,293,179,327,278
ICC WT20 - India vs Pakistan Match Highlights.avi_3855_P1,246,160,290,275
ICC WT20 - India vs Pakistan Match Highlights.avi_3855_P2,385,150,418,238
ICC WT20 - India vs Pakistan Match Highlights.avi_3855_P3,311,58,328,131
ICC WT20 - South Africa vs England - Match Highlights.avi_98_P0,342,176,361,238
ICC WT20 - South Africa vs England - Match Highlights.avi_98_P1,308,199,332,274
ICC WT20 - South Africa vs England - Match Highlights.avi_98_P2,243,158,262,223
ICC WT20 - South Africa vs England - Match Highlights.avi_98_P3,306,73,316,113
ICC WT20 - South Africa vs England - Match Highlights.avi_98_P4,392,10,403,32
ICC WT20 - South Africa vs England - Match Highlights.avi_98_P5,308,73,316,90
ICC WT20 - South Africa vs England - Match Highlights.avi_98_P6,394,13,411,33
ICC WT20 - South Africa vs England - Match Highlights.avi_196_P0,394,152,423,236
ICC WT20 - South Africa vs England - Match Highlights.avi_196_P1,309,179,342,277
ICC WT20 - South Africa vs England - Match Highlights.avi_196_P2,304,42,330,104
ICC WT20 - South Africa vs England - Match Highlights.avi_196_P3,274,171,292,254
ICC WT20 - South Africa vs England - Match Highlights.avi_387_P0,399,150,420,227
ICC WT20 - South Africa vs England - Match Highlights.avi_387_P1,308,176,339,270
ICC WT20 - South Africa vs England - Match Highlights.avi_387_P2,323,36,337,95
ICC WT20 - South Africa vs England - Match Highlights.avi_387_P3,270,152,292,247
ICC WT20 - South Africa vs England - Match Highlights.avi_506_P0,347,175,370,246
ICC WT20 - South Africa vs England - Match Highlights.avi_506_P1,306,200,327,271
ICC WT20 - South Africa vs England - Match Highlights.avi_506_P2,237,161,254,221
ICC WT20 - South Africa vs England - Match Highlights.avi_659_P0,398,152,428,234
ICC WT20 - South Africa vs England - Match Highlights.avi_659_P1,308,178,343,276
ICC WT20 - South Africa vs England - Match Highlights.avi_659_P2,265,156,291,245
ICC WT20 - South Africa vs England - Match Highlights.avi_659_P3,319,42,344,98
ICC WT20 - South Africa vs England - Match Highlights.avi_796_P0,396,154,425,237
ICC WT20 - South Africa vs England - Match Highlights.avi_796_P1,309,186,340,279
ICC WT20 - South Africa vs England - Match Highlights.avi_796_P2,254,173,280,262
ICC WT20 - South Africa vs England - Match Highlights.avi_796_P3,324,46,340,104
ICC WT20 - South Africa vs England - Match Highlights.avi_953_P0,264,177,297,271
ICC WT20 - South Africa vs England - Match Highlights.avi_953_P1,419,182,449,274
ICC WT20 - South Africa vs England - Match Highlights.avi_953_P2,309,57,332,118
ICC WT20 - South Africa vs England - Match Highlights.avi_953_P3,308,218,337,308
ICC WT20 - South Africa vs England - Match Highlights.avi_1176_P0,308,201,332,285
ICC WT20 - South Africa vs England - Match Highlights.avi_1176_P1,371,171,395,248
ICC WT20 - South Africa vs England - Match Highlights.avi_1176_P2,262,190,291,266
ICC WT20 - South Africa vs England - Match Highlights.avi_1176_P3,317,65,331,118
ICC WT20 - South Africa vs England - Match Highlights.avi_1362_P0,371,168,400,243
ICC WT20 - South Africa vs England - Match Highlights.avi_1362_P1,302,209,330,291
ICC WT20 - South Africa vs England - Match Highlights.avi_1362_P2,262,199,285,279
ICC WT20 - South Africa vs England - Match Highlights.avi_1362_P3,316,61,327,114
ICC WT20 - South Africa vs England - Match Highlights.avi_1486_P0,308,198,330,269
ICC WT20 - South Africa vs England - Match Highlights.avi_1486_P1,224,158,247,222
ICC WT20 - South Africa vs England - Match Highlights.avi_1486_P2,354,183,371,254
ICC WT20 - South Africa vs England - Match Highlights.avi_1619_P0,380,176,411,253
ICC WT20 - South Africa vs England - Match Highlights.avi_1619_P1,308,230,333,309
ICC WT20 - South Africa vs England - Match Highlights.avi_1619_P2,272,191,295,268
ICC WT20 - South Africa vs England - Match Highlights.avi_1619_P3,308,74,325,125
ICC WT20 - South Africa vs England - Match Highlights.avi_1860_P0,394,156,414,216
ICC WT20 - South Africa vs England - Match Highlights.avi_1860_P1,309,199,332,268
ICC WT20 - South Africa vs England - Match Highlights.avi_1860_P2,279,183,285,223
ICC WT20 - South Africa vs England - Match Highlights.avi_2148_P0,385,160,416,241
ICC WT20 - South Africa vs England - Match Highlights.avi_2148_P1,301,216,332,305
ICC WT20 - South Africa vs England - Match Highlights.avi_2148_P2,278,178,300,266
ICC WT20 - South Africa vs England - Match Highlights.avi_2148_P3,308,65,327,120
ICC WT20 - South Africa vs England - Match Highlights.avi_2248_P0,310,201,340,293
ICC WT20 - South Africa vs England - Match Highlights.avi_2248_P1,395,158,423,239
ICC WT20 - South Africa vs England - Match Highlights.avi_2248_P2,325,48,340,113
ICC WT20 - South Africa vs England - Match Highlights.avi_2248_P3,277,176,301,255
ICC WT20 - South Africa vs England - Match Highlights.avi_2417_P0,268,165,289,237
ICC WT20 - South Africa vs England - Match Highlights.avi_2417_P1,496,128,526,199
ICC WT20 - South Africa vs England - Match Highlights.avi_2417_P2,317,157,340,236
ICC WT20 - South Africa vs England - Match Highlights.avi_2417_P3,339,50,340,80
ICC WT20 - South Africa vs England - Match Highlights.avi_2529_P0,497,121,521,192
ICC WT20 - South Africa vs England - Match Highlights.avi_2529_P1,308,159,333,238
ICC WT20 - South Africa vs England - Match Highlights.avi_2529_P2,265,137,285,224
ICC WT20 - South Africa vs England - Match Highlights.avi_2529_P3,318,35,330,51
ICC WT20 - South Africa vs England - Match Highlights.avi_2529_P4,328,51,332,81
ICC WT20 - South Africa vs England - Match Highlights.avi_2648_P0,382,183,417,258
ICC WT20 - South Africa vs England - Match Highlights.avi_2648_P1,276,197,296,277
ICC WT20 - South Africa vs England - Match Highlights.avi_2648_P2,308,233,334,315
ICC WT20 - South Africa vs England - Match Highlights.avi_2648_P3,303,75,317,132
ICC WT20 - South Africa vs England - Match Highlights.avi_2648_P4,369,2,377,35
ICC WT20 - South Africa vs England - Match Highlights.avi_2771_P0,373,182,410,254
ICC WT20 - South Africa vs England - Match Highlights.avi_2771_P1,304,228,331,308
ICC WT20 - South Africa vs England - Match Highlights.avi_2771_P2,269,192,293,270
ICC WT20 - South Africa vs England - Match Highlights.avi_2771_P3,299,73,309,130
ICC WT20 - South Africa vs England - Match Highlights.avi_2771_P4,353,12,364,30
ICC WT20 - South Africa vs England - Match Highlights.avi_2949_P0,348,184,371,269
ICC WT20 - South Africa vs England - Match Highlights.avi_2949_P1,301,203,328,287
ICC WT20 - South Africa vs England - Match Highlights.avi_2949_P2,216,160,244,237
ICC WT20 - South Africa vs England - Match Highlights.avi_2949_P3,294,59,308,107
ICC WT20 - South Africa vs England - Match Highlights.avi_3079_P0,410,136,433,206
ICC WT20 - South Africa vs England - Match Highlights.avi_3079_P1,316,176,341,253
ICC WT20 - South Africa vs England - Match Highlights.avi_3079_P2,272,159,296,238
ICC WT20 - South Africa vs England - Match Highlights.avi_3079_P3,332,44,339,94
ICC WT20 - South Africa vs England - Match Highlights.avi_3079_P4,333,65,338,91
ICC WT20 - South Africa vs England - Match Highlights.avi_3337_P0,308,202,332,281
ICC WT20 - South Africa vs England - Match Highlights.avi_3337_P1,381,161,403,231
ICC WT20 - South Africa vs England - Match Highlights.avi_3337_P2,259,175,282,246
ICC WT20 - South Africa vs England - Match Highlights.avi_3541_P0,308,174,335,248
ICC WT20 - South Africa vs England - Match Highlights.avi_3541_P1,378,136,410,200
ICC WT20 - South Africa vs England - Match Highlights.avi_3541_P2,272,154,293,222
ICC WT20 - South Africa vs England - Match Highlights.avi_3672_P0,301,187,329,268
ICC WT20 - South Africa vs England - Match Highlights.avi_3672_P1,397,144,419,213
ICC WT20 - South Africa vs England - Match Highlights.avi_3672_P2,275,160,291,232
ICC WT20 - South Africa vs England - Match Highlights.avi_3672_P3,316,52,324,72
ICC WT20 - South Africa vs England - Match Highlights.avi_3672_P4,301,2,308,27
ICC WT20 - South Africa vs England - Match Highlights.avi_3672_P5,323,72,324,103
ICC WT20 - South Africa vs England - Match Highlights.avi_3672_P6,324,72,324,103
ICC WT20 - South Africa vs England - Match Highlights.avi_3822_P0,372,174,402,248
ICC WT20 - South Africa vs England - Match Highlights.avi_3822_P1,302,225,329,307
ICC WT20 - South Africa vs England - Match Highlights.avi_3822_P2,264,192,285,271
ICC WT20 - South Africa vs England - Match Highlights.avi_3822_P3,316,74,324,128
ICC WT20 - South Africa vs England - Match Highlights.avi_3974_P0,387,164,414,236
ICC WT20 - South Africa vs England - Match Highlights.avi_3974_P1,304,209,327,286
ICC WT20 - South Africa vs England - Match Highlights.avi_3974_P2,268,183,286,247
ICC WT20 - South Africa vs England - Match Highlights.avi_4261_P0,261,196,279,261
ICC WT20 - South Africa vs England - Match Highlights.avi_4261_P1,308,199,327,264
ICC WT20 - South Africa vs England - Match Highlights.avi_4261_P2,363,163,378,212
ICC WT20 - South Africa vs England - Match Highlights.avi_4261_P3,622,253,632,309
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_73_P0,407,144,441,246
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_73_P1,307,43,334,113
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_73_P2,295,179,333,288
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_73_P3,238,147,263,250
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_165_P0,211,129,241,215
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_165_P1,312,41,335,99
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_165_P2,300,161,333,260
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_165_P3,382,142,411,240
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_324_P0,247,184,278,276
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_324_P1,418,153,442,245
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_324_P2,308,65,334,126
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_324_P3,305,193,336,293
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_451_P0,418,158,456,244
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_451_P1,324,199,355,294
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_451_P2,280,171,308,254
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_451_P3,332,74,347,133
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_595_P0,270,183,301,278
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_595_P1,325,201,357,302
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_595_P2,326,41,356,130
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_595_P3,439,158,464,252
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_792_P0,308,50,335,116
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_792_P1,252,160,278,270
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_792_P2,300,175,332,279
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_792_P3,413,146,430,240
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_916_P0,227,148,248,286
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_916_P1,293,51,325,128
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_916_P2,286,199,325,314
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_916_P3,452,157,491,269
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_916_P4,268,81,293,111
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1016_P0,443,159,474,253
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1016_P1,300,207,334,310
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1016_P2,307,49,339,134
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1016_P3,247,182,277,273
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1189_P0,410,140,441,231
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1189_P1,301,175,333,269
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1189_P2,317,54,339,114
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1189_P3,253,177,286,265
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1189_P4,295,2,312,50
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1395_P0,317,37,347,104
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1395_P1,489,129,520,220
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1395_P2,254,162,284,246
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1395_P3,300,165,332,262
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1395_P4,293,2,316,42
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1620_P0,343,158,381,262
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1620_P1,290,182,324,288
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1620_P2,298,43,318,110
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1620_P3,184,136,215,231
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1620_P4,215,2,252,37
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1727_P0,151,151,184,231
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1727_P1,311,57,334,112
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1727_P2,353,153,388,253
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1727_P3,303,179,337,277
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1941_P0,305,197,333,286
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1941_P1,427,159,450,243
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1941_P2,253,200,284,284
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_1941_P3,317,68,333,134
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2083_P0,421,125,444,215
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2083_P1,300,160,332,253
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2083_P2,312,35,334,99
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2083_P3,261,145,287,239
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2083_P4,314,35,325,67
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2083_P5,285,2,305,30
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2306_P0,421,139,457,238
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2306_P1,215,176,262,269
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2306_P2,299,174,333,279
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2306_P3,309,41,333,112
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2476_P0,163,143,201,238
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2476_P1,301,176,337,277
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2476_P2,323,42,339,112
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2476_P3,361,151,385,248
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2476_P4,286,69,308,100
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2623_P0,292,178,331,300
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2623_P1,270,58,301,93
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2623_P2,386,138,425,247
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2623_P3,207,168,240,280
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2623_P4,304,23,328,107
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2764_P0,228,160,264,260
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2764_P1,300,167,334,269
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2764_P2,414,129,453,223
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2764_P3,301,26,323,103
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2941_P0,406,155,445,245
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2941_P1,237,167,263,262
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2941_P2,308,182,340,285
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2941_P3,317,61,340,121
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_2941_P4,295,81,309,99
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3075_P0,310,190,345,294
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3075_P1,234,189,276,285
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3075_P2,417,158,444,247
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3075_P3,324,64,348,128
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3329_P0,439,131,480,230
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3329_P1,245,159,278,261
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3329_P2,295,173,331,272
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3329_P3,315,33,330,105
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3431_P0,427,167,462,263
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3431_P1,299,9,317,58
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3431_P2,311,215,347,317
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3431_P3,325,64,346,136
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3431_P4,277,183,292,238
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3431_P5,267,230,282,282
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3431_P6,267,230,278,281
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3596_P0,300,178,333,276
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3596_P1,391,139,424,238
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3596_P2,305,43,332,113
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3596_P3,240,171,269,267
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3596_P4,292,2,296,20
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3596_P5,303,2,309,25
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3596_P6,285,22,307,53
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3596_P7,293,2,308,8
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3738_P0,239,155,266,246
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3738_P1,300,160,332,254
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3738_P2,401,121,427,213
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3738_P3,293,2,308,36
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3866_P0,363,191,388,277
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3866_P1,316,185,345,282
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3866_P2,191,138,222,227
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3866_P3,325,9,340,49
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3866_P4,313,55,333,114
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3996_P0,446,143,480,245
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3996_P1,317,39,337,119
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3996_P2,304,183,339,283
ICC WT20 Afghanistan vs Zimbabwe Match Highlights.avi_3996_P3,246,156,276,259
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_98_P0,316,185,354,291
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_98_P1,431,146,479,239
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_98_P2,274,135,297,260
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_98_P3,316,45,333,119
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_98_P4,559,2,606,35
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_98_P5,485,2,519,26
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_309_P0,308,186,346,294
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_309_P1,426,145,473,242
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_309_P2,265,156,286,260
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_309_P3,317,43,339,113
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_486_P0,296,185,337,303
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_486_P1,466,146,498,254
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_486_P2,316,53,335,129
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_486_P3,263,153,293,276
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_641_P0,301,182,346,305
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_641_P1,120,161,161,270
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_641_P2,372,146,410,285
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_641_P3,294,50,325,136
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_761_P0,459,144,498,255
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_761_P1,305,42,333,114
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_761_P2,298,180,333,294
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_761_P3,278,67,308,102
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_761_P4,222,147,253,269
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_871_P0,301,183,334,294
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_871_P1,465,149,503,254
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_871_P2,231,152,260,268
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_871_P3,316,42,336,119
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_871_P4,284,73,308,106
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1059_P0,473,146,511,261
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1059_P1,308,185,340,301
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1059_P2,321,35,345,118
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1059_P3,237,162,262,277
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1059_P4,289,66,312,106
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1295_P0,466,157,503,258
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1295_P1,296,192,333,301
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1295_P2,308,65,331,136
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1295_P3,253,164,286,275
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1419_P0,301,170,335,285
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1419_P1,442,137,480,247
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1419_P2,230,137,260,256
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1419_P3,289,34,314,109
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1822_P0,481,136,518,244
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1822_P1,321,175,355,284
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1822_P2,279,145,301,240
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1822_P3,316,39,336,108
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1822_P4,388,2,402,2
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1822_P5,387,2,410,34
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1977_P0,301,183,333,286
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1977_P1,408,138,427,237
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1977_P2,324,33,339,113
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_1977_P3,292,74,309,102
ICC WT20 Australia vs Bangladesh - Match Highlights.avi_2120_P0,297,177,335,293
